name,link,locations,credential
Geographic Information Science,https://saskpolytech.ca/programs-and-courses/programs/Geographic-Information-Science.aspx,"Online/Distance, Prince Albert",Certificate
Graphic Communications,https://saskpolytech.ca/programs-and-courses/programs/Graphic-Communications.aspx,Regina,Diploma
Hairstylist,https://saskpolytech.ca/programs-and-courses/programs/Hairstylist-Diploma.aspx,Prince Albert,Diploma
Health Care Cook,https://saskpolytech.ca/programs-and-courses/programs/Health-Care-Cook.aspx,"Moose Jaw, Prince Albert",Certificate
Health Information Management,https://saskpolytech.ca/programs-and-courses/programs/Health-Information-Management.aspx,"Online/Distance, Regina",Diploma
Heavy Equipment and Truck and Transport,https://saskpolytech.ca/programs-and-courses/programs/Heavy-Equipment-and-Truck-and-Transport.aspx,Saskatoon,Applied Certificate
Heavy Equipment and Truck and Transport Technician,https://saskpolytech.ca/programs-and-courses/programs/Heavy-Equipment-and-Truck-and-Transport-Technician.aspx,Saskatoon,Certificate
Hospitality and Tourism Management,https://saskpolytech.ca/programs-and-courses/programs/Hospitality-and-Tourism-Management.aspx,,Post-Graduate Certificate
Hospitality Management,https://saskpolytech.ca/programs-and-courses/programs/Hospitality-Management-Diploma.aspx,"Regina, Saskatoon",Diploma
Hotel and Restaurant Management,https://saskpolytech.ca/programs-and-courses/programs/Hotel-and-Restaurant-Management.aspx,,Diploma
Human Resources,https://saskpolytech.ca/programs-and-courses/programs/Business-Diploma.aspx,See program page for details,Diploma
Human Resources Management,https://saskpolytech.ca/programs-and-courses/programs/Human-Resources-Management.aspx,Online/Distance,Certificate
Indigenous Leadership Skills,https://saskpolytech.ca/programs-and-courses/programs/Indigenous-Leadership-Skills.aspx,Online/Distance,Applied Certificate
Industrial Mechanics,https://saskpolytech.ca/programs-and-courses/programs/Industrial-Mechanics-Applied-Certificate.aspx,Delivery is subject to needs assessment.,Applied Certificate
